B,P-004958,1,0000 ,   ,Curb Line
B,P-004958,2,0009 ,   ,Property Line
B,P-004958,3,0030 ,   ,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI <--> (SUPERSEDED BY SP-841C)                                    
B,P-004958,4,0030 ,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-004958,5,0208 ,   ,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI <--> (SUPERSEDED BY SP-841C)                                    
B,P-004958,6,0208 ,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-004958,7,0218 ,   ,Property Line
B,P-004958,8,0232 ,   ,Curb Line
B,P-009318,1,0000 ,   ,Curb Line
B,P-009318,2,0014 ,   ,Building Line
B,P-009318,3,0066 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         
B,P-009318,4,0129 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         
B,P-009318,5,0149 ,   ,Property Line
B,P-009318,6,0177 ,   ,Curb Line
B,P-010938,1,0000 ,   ,Building Line
B,P-010938,2,0055 ,   ,NO PARKING ANYTIME(SUPERSEDED BY R7-40R) DON'T USE R7-40                                                                                                                
B,P-010938,3,0089 ,   ,Property Line
B,P-049703,1,0000 ,   ,Building Line
B,P-049703,2,0000 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 8AM-9AM EXCEPT SUNDAY <----> (SUPERSEDED BY SP-156C DATED 1-22-98)                                                                 
B,P-049703,3,0000 ,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-049703,4,0090 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 8AM-9AM EXCEPT SUNDAY <----> (SUPERSEDED BY SP-156C DATED 1-22-98)                                                                 
B,P-049703,5,0090 ,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-049703,6,0158 ,   ,Property Line
B,P-068316,1,0000 ,   ,Curb Line
B,P-068316,2,0015 ,   ,Building Line
B,P-068316,3,0087 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         
B,P-068316,4,0149 ,W  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-068316,5,0179 ,   ,NO PARKING ANYTIME <----> (SUPERSEDES R7-40 DON'T USE --R7-40)                                                                                                          
B,P-068316,6,0229 ,   ,Building Line
B,P-068316,7,0229 ,W  ,NO PARKING ANYTIME (SINGLE ARROW)(SUPERSEDES R7-40 DON'TUSE R7-40)                                                                                                      
B,P-068316,8,0244 ,   ,Curb Line
B,P-070463,1,0000 ,   ,Curb Line
B,P-070463,2,0013 ,   ,Building Line
B,P-070463,3,0131 ,W  ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN W/ SIGNLE ARROW (SUPERSEDES SP-182CA)                                                                          
B,P-070463,4,0131 ,W  ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                                                  
B,P-070463,5,0213 ,W  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-070463,6,0213 ,   ,Property Line
B,P-070463,7,0226 ,   ,Curb Line
B,P-072060,1,0000 ,   ,Curb Line
B,P-072060,2,0020 ,   ,Building Line
B,P-072060,3,0130 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS <---->                                                                                                        
B,P-072060,4,0130 ,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-072060,5,0130 ,N  ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY W/ SINGLE ARROW                                                                                                                    
B,P-072060,6,0144 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS <---->                                                                                                        
B,P-072060,7,0278 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS <---->                                                                                                        
B,P-072060,8,0426 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM THURS <---->                                                                                                        
B,P-072060,9,0480 ,   ,Building Line
B,P-072060,10,0495 ,   ,Curb Line
B,P-075539,1,0000 ,   ,Curb Line
B,P-075539,2,0019 ,   ,Building Line
B,P-075539,3,0231 ,   ,Building Line
B,P-075539,4,0243 ,   ,Curb Line
B,P-076559,1,0000 ,   ,Curb Line
B,P-076559,2,0248 ,   ,Property Line
B,P-076661,1,0000 ,   ,Curb Line
B,P-076661,2,0011 ,   ,Property Line
B,P-076661,3,0094 ,N  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-076661,4,0812 ,S  ,NO PARKING 8AM-6PM MON THRU FRI (ARROW) (SUPERSEDED BY R7-45RA)                                                                                                         
B,P-076661,5,0946 ,N  ,NO PARKING 8AM-6PM MON THRU FRI (ARROW) (SUPERSEDED BY R7-45RA)                                                                                                         
B,P-076661,6,0946 ,S  ,NO PARKING (SANITATION BROOM SYMBOL) 9-9:30AM SAT W/SINGLE ARROW SUPERSEDED BY SP-523CA DATED 4/10/96                                                                   
B,P-076661,7,0946 ,S  ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY W/ SINGLE ARROW                                                                                                                    
B,P-076661,8,0946 ,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-076661,9,1004 ,S  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-076661,10,1068 ,N  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-076661,11,1148 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 9-9:30AM SAT <---->SUPERSEDED BY SP-523C DATED 4/10/96                                                                             
B,P-076661,12,1148 ,   ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY <----->                                                                                                                            
B,P-076661,13,1148 ,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-076661,14,1297 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 9-9:30AM SAT <---->SUPERSEDED BY SP-523C DATED 4/10/96                                                                             
B,P-076661,15,1297 ,   ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY <----->                                                                                                                            
B,P-076661,16,1297 ,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-076661,17,1378 ,   ,Building Line
B,P-076661,18,1396 ,   ,Curb Line
B,P-089057,1,0000 ,   ,Curb Line
B,P-089057,2,0065 ,   ,Property Line
B,P-089057,3,0080 ,   ,Curb Line
B,P-089988,1,0000 ,   ,Curb Line
B,P-089988,2,0004 ,   ,Property Line
B,P-089988,3,0007 ,   ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI <-----> (SUPERSEDED BY SP-846C)                                                                               
B,P-089988,4,0007 ,   ,OTHER TIMES (RIDER FOR PARKING RESTRICTED SIGNS - RED/WHITE)                                                                                                            
B,P-089988,5,0007 ,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-089988,6,0122 ,W  ,NO PARKING (SANITATION BROOM SYMBOL) 8:30-10AM TUES & FRI W/SINGLE ARROW (SUPERSEDED BY SP-846CA)                                                                       
B,P-089988,7,0122 ,   ,OTHER TIMES (RIDER FOR PARKING RESTRICTED SIGNS - RED/WHITE)                                                                                                            
